type,column,missing_count,missing_pct,negative_count
missingness,CountyName,0,0,
missingness,DwellingTypeDescr,0,0,
missingness,Year_of_Construction,0,0,
missingness,TypeofRating,0,0,
missingness,EnergyRating,0,0,
missingness,BerRating,0,0,
missingness,GroundFloorArea(sq m),0,0,
missingness,UValueWall,0,0,
missingness,UValueRoof,0,0,
missingness,UValueFloor,0,0,
missingness,UValueWindow,0,0,
missingness,UvalueDoor,0,0,
missingness,WallArea,0,0,
missingness,RoofArea,0,0,
missingness,FloorArea,0,0,
missingness,WindowArea,0,0,
missingness,DoorArea,0,0,
missingness,NoStoreys,0,0,
missingness,CO2Rating,0,0,
missingness,MainSpaceHeatingFuel,0,0,
missingness,MainWaterHeatingFuel,0,0,
missingness,HSMainSystemEfficiency,0,0,
missingness,TGDLEdition,0,0,
missingness,MPCDERValue,0,0,
missingness,HSEffAdjFactor,0,0,
missingness,HSSupplHeatFraction,0,0,
missingness,HSSupplSystemEff,0,0,
missingness,WHMainSystemEff,0,0,
missingness,WHEffAdjFactor,0,0,
missingness,SupplSHFuel,0,0,
missingness,SupplWHFuel,0,0,
missingness,SHRenewableResources,0,0,
missingness,WHRenewableResources,0,0,
missingness,NoOfChimneys,0,0,
missingness,NoOfOpenFlues,0,0,
missingness,NoOfFansAndVents,0,0,
missingness,NoOfFluelessGasFires,0,0,
missingness,DraftLobby,0,0,
missingness,VentilationMethod,0,0,
missingness,FanPowerManuDeclaredValue,0,0,
missingness,HeatExchangerEff,0,0,
missingness,StructureType,0,0,
missingness,SuspendedWoodenFloor,0,0,
missingness,PercentageDraughtStripped,0,0,
missingness,NoOfSidesSheltered,0,0,
missingness,PermeabilityTest,0,0,
missingness,PermeabilityTestResult,0,0,
missingness,TempAdjustment,0,0,
missingness,HeatSystemControlCat,0,0,
missingness,HeatSystemResponseCat,0,0,
missingness,NoCentralHeatingPumps,0,0,
missingness,CHBoilerThermostatControlled,0,0,
missingness,NoOilBoilerHeatingPumps,0,0,
missingness,OBBoilerThermostatControlled,0,0,
missingness,OBPumpInsideDwelling,0,0,
missingness,NoGasBoilerHeatingPumps,0,0,
missingness,WarmAirHeatingSystem,0,0,
missingness,UndergroundHeating,0,0,
missingness,GroundFloorUValue,0,0,
missingness,DistributionLosses,0,0,
missingness,CylinderStat,0,0,
missingness,CombinedCylinder,0,0,
missingness,SWHPumpSolarPowered,0,0,
missingness,ChargingBasisHeatConsumed,0,0,
missingness,DeliveredLightingEnergy,0,0,
missingness,DeliveredEnergyPumpsFans,0,0,
missingness,DeliveredEnergyMainWater,0,0,
missingness,DeliveredEnergyMainSpace,0,0,
missingness,PrimaryEnergyLighting,0,0,
missingness,PrimaryEnergyPumpsFans,0,0,
missingness,PrimaryEnergyMainWater,0,0,
missingness,PrimaryEnergyMainSpace,0,0,
missingness,CO2Lighting,0,0,
missingness,CO2PumpsFans,0,0,
missingness,CO2MainWater,0,0,
missingness,CO2MainSpace,0,0,
missingness,GroundFloorArea,0,0,
missingness,GroundFloorHeight,0,0,
missingness,FirstFloorArea,0,0,
missingness,FirstFloorHeight,0,0,
missingness,SecondFloorArea,0,0,
missingness,SecondFloorHeight,0,0,
missingness,ThirdFloorArea,0,0,
missingness,ThirdFloorHeight,0,0,
missingness,ThermalBridgingFactor,0,0,
missingness,ThermalMassCategory,0,0,
missingness,LowEnergyLightingPercent,0,0,
missingness,DeliveredEnergySecondarySpace,0,0,
missingness,LivingAreaPercent,0,0,
missingness,CO2SecondarySpace,0,0,
missingness,PrimaryEnergySecondarySpace,0,0,
missingness,PrimaryEnergySupplementaryWater,0,0,
missingness,HESSchemeUpgrade,0,0,
missingness,age_band_bin,0,0,
missingness,AgeBand,0,0,
missingness,PUValueWall,0,0,
missingness,PUValueRoof,0,0,
missingness,County,0,0,
missingness,ThermalEra,0,0,
missingness,Total_Delivered_kWh,0,0,
missingness,Total_Primary_kWh,0,0,
missingness,Total_CO2_kg,0,0,
negatives,TempAdjustment,,,5437
negatives,CO2Rating,,,167
negatives,BerRating,,,120
negatives,PrimaryEnergyMainSpace,,,83
negatives,PrimaryEnergySupplementaryWater,,,81
negatives,DeliveredEnergyMainSpace,,,59
negatives,CO2MainSpace,,,59
negatives,DeliveredEnergyMainWater,,,32
negatives,PrimaryEnergyMainWater,,,32
negatives,CO2MainWater,,,32
negatives,DeliveredEnergySecondarySpace,,,5
negatives,CO2SecondarySpace,,,5
negatives,PrimaryEnergySecondarySpace,,,5
