fuel,euro_per_kWh
electricity_DA,0.4377
electricity_DB,0.4569
electricity_DC,0.3699
electricity_DD,0.3246
electricity_DE,0.2986
electricity_night,0.1558
gas_D1,0.1602
gas_D2,0.1347
gas_D3,0.0973
kerosene,0.095
gas_oil,0.0974
lpg_bulk,0.1649
bottled_butane,0.2069
bottled_propane_34kg,0.2101
bottled_propane_47kg,0.2066
pellets_bulk,0.0987
pellets_bagged,0.1024
sod_peat,0.1652
hardwood_pallet_delivered,0.1446
softwood_bulk_delivered,0.0853
coal_ovoids_low_smoke,0.0946
electricity,0.354
gas,0.165
heating_oil,0.1
