Feature,Gain,Cover,Frequency
FirstFloorHeight,0.181506478937808,0.0468739749336534,0.0360090022505626
HSMainSystemEfficiency,0.170351348807539,0.0519824308375867,0.0412603150787697
UValueRoof,0.139553262055015,0.0515472847783647,0.0390097524381095
WallHeatLossProxy,0.118983719140097,0.0594535891392516,0.0551387846961741
FloorHeatLossProxy,0.0839904849903751,0.0517943365580698,0.0588897224306077
DoorArea,0.0653816624768609,0.0647077555268125,0.0510127531882971
SecondFloorArea,0.0458360895306764,0.0424429260322483,0.0258814703675919
Year_of_Construction,0.035557231330352,0.0364716879696314,0.0420105026256564
WHMainSystemEff,0.0349928920829533,0.0360822922399845,0.0281320330082521
RoofHeatLossProxy,0.0241779547623171,0.0226179702460574,0.0337584396099025
NoOfOpenFlues,0.0183846529458366,0.0238457191848224,0.0183795948987247
RoofArea,0.0142918401165913,0.00506451832326596,0.0150037509377344
DistributionLosses,0.0114331225502137,0.0103541196359033,0.0236309077269317
GroundFloorArea_sq_m_,0.00754550461128068,0.010786417089699,0.0191297824456114
UValueWindow,0.00480146688759287,0.00150790496637955,0.0131282820705176
WallArea,0.00459386498507316,0.039147478000134,0.0450112528132033
UValueWall,0.00414381652765276,0.015889866353792,0.0210052513128282
NoOfFansAndVents,0.00376407698863429,0.00546548111737152,0.00787696924231058
GroundFloorHeight,0.0037228728631505,0.0263107124137736,0.0236309077269317
WindowArea,0.00352158732279326,0.0188313535813358,0.031132783195799
PUValueRoof,0.00284641285899907,0.00715086283395151,0.00525131282820705
FirstFloorArea,0.00270218786200013,0.0127358127364774,0.0172543135783946
PUValueWall,0.00249542165929075,0.00373844933660296,0.00525131282820705
WindowHeatLossProxy,0.00214052630018032,0.0226420107494284,0.0360090022505626
PercentageDraughtStripped,0.00158984608101926,0.000633944189431916,0.0018754688672168
SuspendedWoodenFloorYes__Sealed_,0.0015288363434458,0.0375185936245103,0.0213803450862716
FloorArea,0.00148705528290981,0.0083511615749715,0.0150037509377344
GroundFloorArea,0.0013447386885037,0.0183947832194006,0.0240060015003751
MainSpaceHeatingFuelSolid_Multi_Fuel,0.00118556722765433,0.0117584389504149,0.00825206301575394
UvalueDoor,0.000913410382696206,0.0170389333578256,0.0172543135783946
UValueFloor,0.00066349311912189,0.0100047338642904,0.0172543135783946
LowEnergyLightingPercent,0.000661750435744324,0.000414256286095284,0.0105026256564141
NoStoreys,0.000610423116508254,0.00267803438629299,0.00225056264066016
LivingAreaPercent,0.00060311494275966,0.0332481456441888,0.0360090022505626
CountyNameCo__Offaly,0.000470846672557405,0.00614811056318138,0.00375093773443361
GroundFloorUValue,0.000364733663717,0.0322148787668059,0.0195048762190548
ThermalMassCategoryMedium_high,0.000197349562017654,3.32768906625822e-05,0.000750187546886722
NoOfChimneys,0.000182401886246303,0.00464909669858716,0.00450112528132033
ThirdFloorArea,0.000177604781489211,0.0112792689891491,0.0067516879219805
TempAdjustment,0.000157890972842981,4.11752966175141e-05,0.000750187546886722
HeatSystemResponseCat,0.00013469828365386,0.0146033757182802,0.0105026256564141
MainSpaceHeatingFuelHeating_Oil,0.000127972726986014,6.12450166669314e-05,0.00112528132033008
CountyOffaly,0.000114201545436789,0.0022389175437494,0.00150037509377344
