Feature,Gain,Cover,Frequency
RoofHeatLossProxy,0.34350525283962,0.14291097695715,0.105942773294204
UValueRoof,0.0798985423390339,0.066617914724235,0.0419662509170947
WallHeatLossProxy,0.0678802645895264,0.0574177715429319,0.0488628026412326
FloorHeatLossProxy,0.0434462490040828,0.063995158623375,0.0651504035216434
HSMainSystemEfficiency,0.0391716062954134,0.0332962596414454,0.0424064563462949
RoofArea,0.0263182869238308,0.033956476660961,0.0315480557593544
MainSpaceHeatingFuelSolid_Multi_Fuel,0.0229395243215182,0.00836538084412191,0.00469552457813646
UValueWindow,0.0223037982446003,0.0236110893126411,0.0253851797505503
UValueWall,0.0200677803886073,0.0323584008361675,0.0316947909024211
MainWaterHeatingFuelSolid_Multi_Fuel,0.0196983282462477,0.00460604983223701,0.00293470286133529
WindowHeatLossProxy,0.0161307983810698,0.0357430201773549,0.0407923697725605
HeatSystemResponseCat,0.0160520339758608,0.00748601534600113,0.00777696258253852
GroundFloorArea_sq_m_,0.0154657406617681,0.0363989831381682,0.0306676449009538
DistributionLosses,0.015441996333271,0.0365290542057639,0.0402054292002935
GroundFloorArea,0.0152898225873792,0.0137280085710259,0.0181951577402788
Year_of_Construction,0.0146706456251068,0.0245828516766679,0.0262655906089508
FirstFloorHeight,0.013151019997221,0.0271568472410383,0.0184886280264123
DoorArea,0.0128576922483776,0.0269743416771646,0.0293470286133529
FloorArea,0.0125591589271024,0.012877583563168,0.018048422597212
LivingAreaPercent,0.0123748722052039,0.0170665422762714,0.0316947909024211
SecondFloorArea,0.0119791374988876,0.0186517592418056,0.00601614086573734
WallArea,0.0116714803332415,0.0163101577479091,0.0302274394717535
HSSupplSystemEff,0.0106514057800939,0.00987963237584892,0.0221570066030814
WHMainSystemEff,0.0102908867902702,0.0152400686179669,0.0186353631694791
GroundFloorHeight,0.00926057383848204,0.0195597429530148,0.023037417461482
TempAdjustment,0.00923106814791744,0.0084465946920756,0.0117388114453412
UValueFloor,0.00879063283509009,0.0217376276423062,0.0189288334556126
MainWaterHeatingFuelMains_Gas,0.0084802434150651,0.00476412678628972,0.00498899486426999
WindowArea,0.00799598568959081,0.0231595145358446,0.0247982391782832
PercentageDraughtStripped,0.00708657658542353,0.0054573772161833,0.01496698459281
NoOfChimneys,0.006221711754696,0.0142706266495959,0.0111518708730741
NoCentralHeatingPumps,0.00590280327495785,0.00430352824860951,0.00425531914893617
FirstFloorArea,0.00582335761154385,0.0142078792837364,0.0171680117388114
LowEnergyLightingPercent,0.00564865721077666,0.00202335278415734,0.0145267791636097
PUValueRoof,0.00504531422934916,0.0127110951748629,0.00719002201027146
PUValueWall,0.00497288923197342,0.00818764498242961,0.00777696258253852
NoGasBoilerHeatingPumps,0.00466666753162713,0.00199441229389448,0.00322817314746882
SupplSHFuel,0.00401314705176836,0.00322921728768243,0.00763022743947175
NoOfFansAndVents,0.00398986848595503,0.00509697465203008,0.0110051357300073
UvalueDoor,0.00260167531676979,0.013392131299846,0.00997798972853998
NoOfOpenFlues,0.00245897067972586,0.00428406270727458,0.00528246515040352
MainSpaceHeatingFuelMains_Gas,0.00211420425469997,0.0008261253089067,0.00220102714600147
NoOfSidesSheltered,0.00210604800169669,0.00434036452964565,0.00674981658107117
HeatSystemControlCat,0.00202620216994767,0.000594698069956126,0.00337490829053558
CHBoilerThermostatControlledYES,0.00183199694534215,0.000873403370394027,0.00293470286133529
HSEffAdjFactor,0.00177449169111101,0.000267909015094851,0.00234776228906823
SecondFloorHeight,0.00103425924747896,0.00615791111021876,0.00234776228906823
MainWaterHeatingFuelElectricity,0.000995440888789929,0.00346870145599349,0.00278796771826853
ThermalMassCategoryMedium,0.000857482728327804,0.000194043086717923,0.00264123257520176
WHEffAdjFactor,0.000813605425754331,0.00166098432924017,0.00220102714600147
MainSpaceHeatingFuelHeating_Oil,0.000730365494268447,0.000913075690565055,0.00190755685986794
MainWaterHeatingFuelHeating_Oil,0.0007155014452752,0.000200327491619101,0.00117388114453412
