Feature,Gain,Cover,Frequency
WallHeatLossProxy,0.565341524110122,0.156962756762659,0.101229020747985
WHMainSystemEff,0.0406939248138133,0.0153152799469023,0.02894145632351
HSMainSystemEfficiency,0.0384178086883633,0.0448139168287766,0.0516717325227964
HeatSystemResponseCat,0.030396455131764,0.0114773958590472,0.0141403462402537
age_band_bin_1982_0__1993_0_,0.0287754038136994,0.00738946203567023,0.0108365270252412
UValueWall,0.0239909351791945,0.0737253807552038,0.0429496497951632
FloorHeatLossProxy,0.022632127705652,0.0627197701492466,0.0555041628122109
RoofHeatLossProxy,0.021991109118924,0.0565939551953491,0.0522003435971984
MainSpaceHeatingFuelMains_Gas,0.0213422836912384,0.00408202561142084,0.00673979119862561
WallArea,0.0178824446850124,0.0405919666784594,0.0416281221091582
HSSupplSystemEff,0.0138212276210619,0.0211582755743734,0.0288093035549095
Year_of_Construction,0.01311077083272,0.0244260656364252,0.0303951367781155
UValueRoof,0.0110481052542467,0.0366497687500012,0.02894145632351
PercentageDraughtStripped,0.00909970730788289,0.00403414649485802,0.0108365270252412
NoGasBoilerHeatingPumps,0.0090113570369027,0.00164073951700787,0.00343597198361306
DistributionLosses,0.00899234663889487,0.0366493490409551,0.0376635390511431
GroundFloorArea_sq_m_,0.00759036762929505,0.0256755394665653,0.0272234703317035
PUValueWall,0.00742372360207566,0.0235063216899372,0.0126866657856482
MainWaterHeatingFuelMains_Gas,0.00712455383715719,0.00358776978171062,0.00462534690101758
MainWaterHeatingFuelSolid_Multi_Fuel,0.00710509588964273,0.0109466576276405,0.0060790273556231
NoOfChimneys,0.00688006301323539,0.0125600837713428,0.0133474296286507
MainSpaceHeatingFuelSolid_Multi_Fuel,0.00617290958211901,0.00876836767855505,0.00462534690101758
WindowHeatLossProxy,0.00579906058364838,0.0267159981917643,0.029734372935113
RoofArea,0.00544225500294621,0.018737587508529,0.0232588872736884
GroundFloorHeight,0.00438919523583022,0.0250426182250969,0.0225981234306859
UValueFloor,0.00436693360869386,0.0174931824722529,0.0210122902074798
SupplSHFuel,0.00394991112068792,0.0120201119409225,0.0149332628518567
UValueWindow,0.00394092391486428,0.0196244972934901,0.0210122902074798
GroundFloorArea,0.00377722627821823,0.0129526085853487,0.0202193735958768
FloorArea,0.00361220417304996,0.0124689100524126,0.0190299986784723
DoorArea,0.0034431366218971,0.00683137814564666,0.0192943042156733
LivingAreaPercent,0.00320833147741026,0.0104062338028629,0.0195586097528743
TempAdjustment,0.00307359175306214,0.00426220993342833,0.0105722214880402
WindowArea,0.00304453998287244,0.0162609489983127,0.0208801374388793
