Feature,Gain,Cover,Frequency
WindowHeatLossProxy,0.375105046379751,0.222886891263199,0.104579877389109
WallHeatLossProxy,0.0834471890572525,0.0477650889624782,0.0483231157591057
RoofHeatLossProxy,0.0567255070684268,0.0534844552966162,0.0533717994951316
HSMainSystemEfficiency,0.0556203987234973,0.0574626729333193,0.0620266858997476
FloorHeatLossProxy,0.0535358276734336,0.043673945547269,0.0558961413631446
DistributionLosses,0.0273709276743159,0.0454785074309928,0.0468806346916697
WHMainSystemEff,0.0270233134266318,0.028771317222942,0.0310133429498738
UValueRoof,0.0177988204449696,0.036836044743497,0.0284890010818608
Year_of_Construction,0.01719178141778,0.00687999974581771,0.0162279120086549
UValueWindow,0.0165164120083848,0.0263802826560037,0.0256040389469888
WindowArea,0.0157626420929993,0.02147813886667,0.0281283808150018
HeatSystemResponseCat,0.0143518277027392,0.0186655853328345,0.0108186080057699
FirstFloorHeight,0.0143260546869603,0.0178684855527816,0.0137035701406419
HSSupplSystemEff,0.0139740284474657,0.0251136075695486,0.0317345834835918
NoCentralHeatingPumps,0.0138631048486835,0.0257764673268522,0.0155066714749369
TempAdjustment,0.0134336667154532,0.0271802949414812,0.0155066714749369
WallArea,0.0127657457628618,0.0203978641273856,0.0302921024161558
HeatSystemControlCat,0.0123230319041547,0.0218628543559299,0.0187522538766679
SecondFloorArea,0.0111891689947583,0.00898918321962647,0.00288496213487198
LivingAreaPercent,0.00979843613857996,0.0139997516427193,0.0288496213487198
GroundFloorArea_sq_m_,0.00960008885059001,0.0157855146277937,0.0209159754778219
MainWaterHeatingFuelMains_Gas,0.00940717695437428,0.0125021943080642,0.00613054453660296
RoofArea,0.00899730778057612,0.0113500336394377,0.0234403173458348
FloorArea,0.00856643705045406,0.0172739372863446,0.0252434186801298
MainWaterHeatingFuelSolid_Multi_Fuel,0.00781314373438679,0.0118082236973621,0.00396682293544897
GroundFloorHeight,0.00673997582182466,0.0176573289095024,0.0180310133429499
UValueWall,0.00664411931974069,0.0104663530163098,0.0201947349441039
DoorArea,0.00657241870889948,0.00871064179175215,0.0198341146772449
GroundFloorArea,0.00618882317868978,0.00831560014689618,0.0162279120086549
FirstFloorArea,0.00573987376275236,0.0110027835608662,0.0187522538766679
UValueFloor,0.00443758133543026,0.00629789582074006,0.0119004688063469
SupplSHFuel,0.00423977722423239,0.00728457322660854,0.0122610890732059
NoOfFansAndVents,0.00418125141984582,0.00313769504850248,0.0111792282726289
MainSpaceHeatingFuelMains_Gas,0.00389889328446195,0.00229915825945499,0.00324558240173098
WHEffAdjFactor,0.00382091339262457,0.00446116399073611,0.00757302560403895
LowEnergyLightingPercent,0.00373060391561754,0.00532564855538407,0.0140641904075009
NoOfChimneys,0.00295057349110624,0.00683657693767,0.00721240533717995
SupplWHFuel,0.00278540434352758,0.00394101699923507,0.00757302560403895
PercentageDraughtStripped,0.00241922003283462,0.00347581045096969,0.00865488640461594
MainSpaceHeatingFuelHeating_Oil,0.00229296390052159,0.00242135110067552,0.00432744320230797
HSEffAdjFactor,0.00215604713606167,0.00385880491429688,0.00468806346916697
NoOfSidesSheltered,0.00196271843250462,0.00364327951288082,0.00576992426974396
UvalueDoor,0.0019532155814092,0.00447215207938325,0.00793364587089794
PUValueWall,0.00170876411815381,0.00447069582667098,0.00468806346916697
NoOilBoilerHeatingPumps,0.00163527765372096,0.000612950005255749,0.00180310133429499
MainWaterHeatingFuelElectricity,0.00127791224876054,0.00620588712664659,0.00396682293544897
PUValueRoof,0.001268055900231,0.00190001262968261,0.00396682293544897
MainSpaceHeatingFuelSolid_Multi_Fuel,0.00122939496906963,0.00390116862956294,0.00144248106743599
NoOfOpenFlues,0.00108616285198826,0.000582236311687858,0.00360620266858997
OBPumpInsideDwellingYES,0.00100068734510554,0.00197970936902688,0.00288496213487198
MainWaterHeatingFuelHeating_Oil,0.00097859603281957,0.000742291723427426,0.00144248106743599
ThermalMassCategoryMedium,0.00090581022070898,0.000633602316447951,0.00324558240173098
NoGasBoilerHeatingPumps,0.000840855610447045,0.00140065033598398,0.00180310133429499
SecondFloorHeight,0.000833509645462717,0.00276595344704284,0.00144248106743599
CHBoilerThermostatControlledYES,0.00081933713662688,0.00238878399456474,0.00324558240173098
HESSchemeUpgrade,0.000760445647231778,0.000534709518623751,0.00180310133429499
NoStoreys,0.000710918926955923,0.00015184744190677,0.000721240533717995
MainSpaceHeatingFuelElectricity,0.000634041697648078,0.00091730682212032,0.00108186080057699
HSSupplHeatFraction,0.000517947639987156,0.00284154620147071,0.00108186080057699
ThermalMassCategoryMedium_high,0.000493179901695029,0.0003543989555226,0.00144248106743599
SHRenewableResources,0.00041975039820383,0.000108954180199888,0.000721240533717995
age_band_bin_1982_0__1993_0_,0.00033551537904357,0.000649091549842103,0.00108186080057699
AgeBandB,0.000310621123650325,0.00131989450375806,0.000721240533717995
DraftLobbyYES,0.000268946648609439,0.00012033942867764,0.000360620266858998
age_band_bin_1999_0__2004_0_,0.000214538954037657,0.000410001331809299,0.000721240533717995
CountyNameCo__Offaly,0.000204181525118037,0.00220225126078388,0.000721240533717995
CountyMayo,0.000201421939860411,0.000472487811826731,0.000360620266858998
SuspendedWoodenFloorYes__Unsealed_,0.000193594958886222,0.00136000764665061,0.00108186080057699
CountyNameCo__Mayo,0.000190636838458731,0.000728523515965958,0.000360620266858998
DraftLobbyNO,0.000189634921622645,0.000107365540877411,0.000360620266858998
CountyNameCo__Wicklow,0.000179642766858372,0.000505981624208957,0.000360620266858998
DwellingTypeDescrHouse,0.000163176387683604,0.000620893201868134,0.000360620266858998
CountyNameCo__Meath,0.000154821213219245,0.000441376958428221,0.000360620266858998
DwellingTypeDescrDetached_house,0.000143929103822917,5.69262423887628e-05,0.000721240533717995
age_band_bin_1993_0__1999_0_,0.000125552751668866,0.000156348586653788,0.000721240533717995
CountyNameCo__Kerry,0.000123559946836745,0.00052438336302765,0.000360620266858998
age_band_bin_1949_0__1966_0_,0.000116610082835426,0.000254314678206543,0.000360620266858998
CountyOffaly,8.79286149268148e-05,0.000982970580782707,0.000360620266858998
CountyNameCo__Dublin,7.78525819180114e-05,0.0001133229383367,0.000360620266858998
age_band_bin_1966_0__1977_0_,7.58696568209533e-05,0.000142447992582113,0.000360620266858998
DwellingTypeDescrSemi_detached_house,7.46226853217382e-05,0.000867529456682704,0.000360620266858998
AgeBandG,7.32357220210179e-05,0.000256565250580052,0.000360620266858998
age_band_bin_1977_0__1982_0_,5.93196561848933e-05,0.000979793302137753,0.000360620266858998
CountyWexford,5.62586587630872e-05,0.000377831385529137,0.000360620266858998
ThermalBridgingFactor,3.6420115449099e-05,0.000577470393720426,0.000360620266858998
