County,DwellingTypeDescr,AgeBand,CO2_decile,N
Dublin,Semi-detached house,K,"[324,2.5e+03]",129
Dublin,Semi-detached house,H,"(3.65e+03,4.22e+03]",122
Dublin,Mid-floor apartment,J,"[324,2.5e+03]",95
Dublin,Semi-detached house,H,"(4.22e+03,4.78e+03]",90
Dublin,Ground-floor apartment,I,"(2.5e+03,3.1e+03]",87
Dublin,Semi-detached house,G,"(4.78e+03,5.57e+03]",83
Dublin,Ground-floor apartment,J,"[324,2.5e+03]",82
Dublin,Mid-terrace house,I,"(2.5e+03,3.1e+03]",80
Dublin,Semi-detached house,G,"(4.22e+03,4.78e+03]",78
Cork,Semi-detached house,I,"(3.65e+03,4.22e+03]",75
Dublin,Mid-terrace house,G,"(2.5e+03,3.1e+03]",75
Dublin,End of terrace house,K,"[324,2.5e+03]",72
Dublin,Mid-terrace house,F,"(2.5e+03,3.1e+03]",71
Dublin,Ground-floor apartment,J,"(2.5e+03,3.1e+03]",70
Dublin,Semi-detached house,G,"(3.65e+03,4.22e+03]",70
Dublin,Semi-detached house,H,"(4.78e+03,5.57e+03]",67
Dublin,Mid-terrace house,G,"(3.1e+03,3.65e+03]",65
Cork,Semi-detached house,I,"(3.1e+03,3.65e+03]",64
Dublin,Semi-detached house,G,"(3.1e+03,3.65e+03]",62
Cork,Semi-detached house,J,"(3.1e+03,3.65e+03]",61
Dublin,Semi-detached house,H,"(3.1e+03,3.65e+03]",61
Dublin,Mid-floor apartment,I,"(2.5e+03,3.1e+03]",60
Dublin,Mid-floor apartment,J,"(2.5e+03,3.1e+03]",59
Dublin,Mid-floor apartment,I,"[324,2.5e+03]",57
Meath,Semi-detached house,I,"(3.65e+03,4.22e+03]",56
Cork,Detached house,I,"(6.56e+03,7.83e+03]",55
Dublin,Semi-detached house,K,"(2.5e+03,3.1e+03]",55
Meath,Semi-detached house,K,"[324,2.5e+03]",54
Dublin,Semi-detached house,I,"(4.22e+03,4.78e+03]",54
Dublin,Ground-floor apartment,I,"[324,2.5e+03]",53
Cork,Mid-terrace house,J,"(2.5e+03,3.1e+03]",53
Dublin,Mid-terrace house,K,"[324,2.5e+03]",52
Kildare,Semi-detached house,I,"(3.65e+03,4.22e+03]",52
Kildare,Semi-detached house,K,"[324,2.5e+03]",50
Dublin,Semi-detached house,I,"(3.65e+03,4.22e+03]",49
